,MC,n1,n2,alpha,beta,delta,gamma1,gamma2,OLS original,OLS robust,OLS robust tunned,ICSS original,ICSS robust,ICSS robust tunned
0,100,1000,1000,1.1,0,0,1,0.2,621,1057,1065,559,996,998
1,100,1000,1000,1.1,0,0,1,0.2,976,1050,1038,978,1000,1000
2,100,1000,1000,1.1,0,0,1,0.2,914,1038,1039,1036,1000,1000
3,100,1000,1000,1.1,0,0,1,0.2,653,1057,1045,655,1002,999
4,100,1000,1000,1.1,0,0,1,0.2,746,1047,1026,748,998,991
5,100,1000,1000,1.1,0,0,1,0.2,419,1053,1028,421,1003,1003
6,100,1000,1000,1.1,0,0,1,0.2,702,981,957,704,1000,995
7,100,1000,1000,1.1,0,0,1,0.2,820,889,1036,822,998,999
8,100,1000,1000,1.1,0,0,1,0.2,252,1101,936,254,1001,1002
9,100,1000,1000,1.1,0,0,1,0.2,364,1056,1072,373,995,1000
10,100,1000,1000,1.1,0,0,1,0.2,523,1038,1053,527,994,999
11,100,1000,1000,1.1,0,0,1,0.2,635,1030,1036,637,1000,1000
12,100,1000,1000,1.1,0,0,1,0.2,616,1027,1023,618,1006,974
13,100,1000,1000,1.1,0,0,1,0.2,958,1054,1056,960,995,1000
14,100,1000,1000,1.1,0,0,1,0.2,969,1029,944,971,999,1000
15,100,1000,1000,1.1,0,0,1,0.2,985,1030,1044,987,1000,1000
16,100,1000,1000,1.1,0,0,1,0.2,879,1017,1008,881,989,989
17,100,1000,1000,1.1,0,0,1,0.2,598,935,882,741,998,985
18,100,1000,1000,1.1,0,0,1,0.2,845,1008,1015,1223,989,1000
19,100,1000,1000,1.1,0,0,1,0.2,538,1028,1021,627,998,992
20,100,1000,1000,1.1,0,0,1,0.2,171,1010,1022,173,990,990
21,100,1000,1000,1.1,0,0,1,0.2,784,1032,1036,712,998,998
22,100,1000,1000,1.1,0,0,1,0.2,1623,1035,1056,1624,1000,1000
23,100,1000,1000,1.1,0,0,1,0.2,1466,995,1045,1467,945,988
24,100,1000,1000,1.1,0,0,1,0.2,893,954,1030,958,999,999
25,100,1000,1000,1.1,0,0,1,0.2,1845,1032,1018,1846,996,1002
26,100,1000,1000,1.1,0,0,1,0.2,930,1015,1037,932,999,998
27,100,1000,1000,1.1,0,0,1,0.2,857,1040,1018,746,1000,1000
28,100,1000,1000,1.1,0,0,1,0.2,805,1036,1040,807,997,997
29,100,1000,1000,1.1,0,0,1,0.2,539,1,1062,541,3,3
30,100,1000,1000,1.1,0,0,1,0.2,909,952,1042,911,968,971
31,100,1000,1000,1.1,0,0,1,0.2,650,1021,1031,652,997,997
32,100,1000,1000,1.1,0,0,1,0.2,823,1032,1041,825,1003,1003
33,100,1000,1000,1.1,0,0,1,0.2,837,1025,1035,866,991,991
34,100,1000,1000,1.1,0,0,1,0.2,690,1037,1048,692,988,999
35,100,1000,1000,1.1,0,0,1,0.2,743,971,1027,763,1020,992
36,100,1000,1000,1.1,0,0,1,0.2,253,1034,1056,626,999,999
37,100,1000,1000,1.1,0,0,1,0.2,270,972,929,684,1000,1003
38,100,1000,1000,1.1,0,0,1,0.2,442,945,1024,459,995,995
39,100,1000,1000,1.1,0,0,1,0.2,1120,965,1027,1122,1000,1002
40,100,1000,1000,1.1,0,0,1,0.2,709,1066,915,711,1000,1000
41,100,1000,1000,1.1,0,0,1,0.2,630,946,1021,634,985,991
42,100,1000,1000,1.1,0,0,1,0.2,677,1,1033,679,3,987
43,100,1000,1000,1.1,0,0,1,0.2,492,1044,1054,494,991,1000
44,100,1000,1000,1.1,0,0,1,0.2,316,1036,1040,708,1003,1000
45,100,1000,1000,1.1,0,0,1,0.2,264,1060,1029,266,992,996
46,100,1000,1000,1.1,0,0,1,0.2,862,923,1025,864,992,989
47,100,1000,1000,1.1,0,0,1,0.2,884,944,1011,918,982,988
48,100,1000,1000,1.1,0,0,1,0.2,919,1043,1052,921,999,999
49,100,1000,1000,1.1,0,0,1,0.2,764,1017,1024,989,1002,1000
50,100,1000,1000,1.1,0,0,1,0.2,967,934,1034,969,987,986
